Имя,Дата защиты,Ученая степень,Научный руководитель:,Официальные оппоненты:,Работа выполнена в:,Ведущая организация:,Диссертационный совет:,Научный консультант:,Научный руководитель / консультант:,Работа выполнена:,Дата защиты:,Работа выполнена в,Работа выполнена на:,V1,"Работа
выполнена в:","Работа выполнена
в:","Ведущая
организация:",Работа выполнена на,Научные руководители:,Научный консультант,Работа выполнена,"Ведущая 
 организация:","Научный
руководитель:",Научные консультанты:,Научный руководитель,Официальные оппоненты,"Организация, где выполнена работа",Ведущая организация,Диссертация защищена,  Фото,Тамбовский государственный университет им. Г.Р. Державина,Диссертационный совет: 12.10.419,Фото,"Организация, где выполнена диссертация",V2
Абатурова Валентина Владимировна, 23 июня 2011 года, кандидат педагогических наук,Рыжаков Михаил Викторович,"Саханский Николай Борисович,
Афанасьева Татьяна Павловна",АПК и ППРО,Нижегородский государственный педагогический университет,008.014.01 при Институте управления образованием Российской академии образования,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Абдукеримова Зилфира Келбялиевна, 16 февраля 2011 года, кандидат педагогических наук,Пушкарева Татьяна Владимировна,"Евладова Елена Борисовна,
Романникова Марина Васильевна",РГГУ,Воронежский ГУ,212.136.04 Моск. гос. гуманитар. ун-т им. М.А. Шолохова,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Абдулганиев Фарид Султанович, 30 апреля 2009 года, кандидат экономических наук,Сульдина Галина Алексеевна,"Киселев Сергей Владимирович,
Санжина Ольга Петровна",Казанский государственный университет им. В.И. Ульянова-Ленина,Казанский государственный архитектурно-строительный университет,"521.015.01 Акад. упр. ""ТИСБИ""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Абдуллаев Фуад Рагим оглы, 18 октября 2006, кандидат экономических наук,Раевский Сергей Васильевич,"Бобылева Алла Зиновьевна, Тескина Светлана Александровна",на кафедре общего и специального менеджмента Российской академии государственной службы при Президенте Российской Федерации РАГС,Финансовая академия при Правительстве РФ,502.006.08 РАГС,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Абдульмянов Ильдар Абдулкадирович, 2004 год, кандидат исторических наук,Первушкин Владимир Иванович,"",Пензенский государственный педагогический университет им. В.Г. Белинского,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Абельцев Сергей Николаевич, 2000 год, доктор юридических наук,,,Московский университет МВД России,МВД России,203.019.03 Московский университет МВД России,Аванесов Геннадий Арташесович,,,,,,,,,,,,,,,,,,,,,,,,,,,
Абзалов Альберт Феликсович, 30 ноября 2006 года, кандидат педагогических наук,Репин Юрий Викторович,"Ширшов Владимир Дмитриевич,
Чапаев Николай Кузьмич",Уральский государственный педагогический университет,Челябинский государственный педагогический университет,212.283.01 Уральский государственный педагогический университет,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Абовян Армен Анушаванович, 26 октября 2007 года, кандидат медицинских наук,Сигаев Игорь Юрьевич*,"Попов Вадим Анатольевич, Алшибая Михаил Дурмишханович",Научный центр сердечно-сосудистой хирургии им. А. Н. Бакулева РАМН,Российский научный центр хирургии им академика Б.В. Петровского,001.015.01 Научный центр сердечно-сосудистой хирургии им. А. Н. Бакулева РАМН,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Абрамов Сергей Борисович, 2003 год, кандидат исторических наук,Митволь Олег Львович,,МПГУ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Абрекова Любовь Османовна, 2006 год, доктор психологических наук,,"Берулава Галина Алексеевна,
Позняков Владимир Петрович, Озеров Виктор Петрович",Карачаево-Черкесский государственный университет,Пятигорский государственный Лингвистический университет,008.016.01 при государственном Научно-образовательном центре РАО,Китов Ахмед Исмаилович,,,,,,,,,,,,,,,,,,,,,,,,,,,
